date_week,province,total_posts,avg_word_count,joy_mean,sadness_mean,anger_mean,fear_mean,surprise_mean,neutral_mean,joy_std,sadness_std,anger_std,fear_std,surprise_std,dominant_emotion_key,dominant_emotion,dominant_score,positive_index,emotional_intensity,fear_joy_ratio,reliable
2019-W49,安徽,11,402.1818181818182,0.07727272727272728,0.02727272727272727,0.45909090909090905,0.03636363636363636,0.07727272727272728,0.3227272727272727,0.14029190347920362,0.09045340337332909,0.3269695565478396,0.08969645781999726,0.026111648393354676,anger,愤怒,0.45909090909090905,0.14505119453924917,0.6772727272727272,0.41666666666666663,False
2019-W49,山东,10,220.2,0.12999999999999998,0.07999999999999999,0.35,0.02,0.025,0.395,0.2263232692902394,0.18589124658131576,0.34318767136623335,0.025819888974716113,0.04249182927993988,neutral,中性,0.395,0.2826086956521739,0.605,0.14285714285714288,False
2019-W49,山西,6,409.0,0.35000000000000003,0.041666666666666664,0.15,0.0,0.09166666666666667,0.3666666666666667,0.3619392214170772,0.06645800679125628,0.28106938645110385,0.0,0.07359800721939873,neutral,中性,0.3666666666666667,1.7355371900826448,0.6333333333333333,0.0,False
2019-W49,广东,7,281.7142857142857,0.014285714285714287,0.0,0.42142857142857143,0.0,0.16428571428571428,0.39999999999999997,0.03779644730092273,0.0,0.3080275188695847,0.0,0.21739803302216137,anger,愤怒,0.42142857142857143,0.033112582781456956,0.6000000000000001,0.0,False
2019-W49,广西,9,345.1111111111111,0.08,0.04111111111111111,0.23888888888888887,0.03888888888888889,0.02888888888888889,0.5722222222222222,0.16309506430300091,0.07720823214600313,0.2315407331574967,0.04859126579037751,0.050110987927909696,neutral,中性,0.5722222222222222,0.24324324324324323,0.4277777777777778,0.4320987654320988,False
2019-W49,新疆,2,564.5,0.125,0.15,0.30000000000000004,0.0,0.1,0.325,0.03535533905932737,0.21213203435596426,0.1414213562373095,0.0,0.0,neutral,中性,0.325,0.27173913043478254,0.675,0.0,False
2019-W49,江苏,10,443.7,0.175,0.04,0.195,0.01,0.135,0.445,0.25522321385189256,0.09660917830792959,0.2871797733515058,0.03162277660168379,0.17328524974093373,neutral,中性,0.445,0.6862745098039215,0.5549999999999999,0.05405405405405406,False
2019-W49,江西,5,409.2,0.30999999999999994,0.05,0.02,0.0,0.11000000000000001,0.51,0.39115214431215894,0.07071067811865475,0.044721359549995794,0.0,0.08944271909999159,neutral,中性,0.51,3.874999999999999,0.49,0.0,False
2019-W49,河北,12,560.0833333333334,0.14583333333333334,0.07083333333333335,0.31666666666666665,0.016666666666666666,0.004166666666666667,0.4458333333333333,0.2649685515930774,0.09404624909956254,0.3352972448801845,0.03892494720807615,0.014433756729740645,neutral,中性,0.4458333333333333,0.35211267605633806,0.5541666666666667,0.106951871657754,False
2019-W49,河南,6,266.6666666666667,0.075,0.10000000000000002,0.16666666666666666,0.016666666666666666,0.041666666666666664,0.6,0.12549900398011132,0.15491933384829668,0.28751811537130434,0.040824829046386304,0.049159604012508754,neutral,中性,0.6,0.2556818181818182,0.4,0.19607843137254904,False
