date_month,province,total_posts,joy_mean,sadness_mean,anger_mean,fear_mean,surprise_mean,neutral_mean,joy_std,fear_std,emotional_intensity,dominant_emotion_key,dominant_emotion,dominant_score,reliable
2019-12,上海,30,0.19666666666666666,0.09666666666666666,0.16666666666666666,0.041666666666666664,0.045000000000000005,0.4533333333333333,0.2661777126519868,0.10007181329471329,0.5466666666666666,neutral,中性,0.4533333333333333,True
2019-12,云南,30,0.15666666666666668,0.09666666666666666,0.19833333333333333,0.065,0.060000000000000005,0.4233333333333333,0.1959650449712262,0.11901173515014507,0.5766666666666667,neutral,中性,0.4233333333333333,True
2019-12,内蒙古,17,0.15294117647058825,0.03823529411764706,0.20882352941176469,0.047058823529411764,0.11176470588235295,0.4411764705882353,0.20346267181851665,0.07174300539794393,0.5588235294117647,neutral,中性,0.4411764705882353,False
2019-12,北京,30,0.14833333333333334,0.06833333333333334,0.15333333333333332,0.028333333333333332,0.10166666666666666,0.5,0.27745249153228246,0.06908681861069539,0.5,neutral,中性,0.5,True
2019-12,台湾,8,0.25,0.075,0.16875,0.018750000000000003,0.11875000000000001,0.36875,0.20701966780270625,0.03720119045714225,0.63125,neutral,中性,0.36875,False
2019-12,吉林,21,0.1619047619047619,0.10238095238095238,0.18095238095238095,0.05714285714285714,0.047619047619047616,0.44999999999999996,0.2553941864573085,0.11212238211627763,0.5499999999999999,neutral,中性,0.44999999999999996,False
2019-12,四川,30,0.13333333333333333,0.030000000000000002,0.165,0.041666666666666664,0.055,0.575,0.236837399966704,0.07320652568110887,0.42500000000000004,neutral,中性,0.575,True
2019-12,天津,21,0.2,0.02619047619047619,0.2690476190476191,0.009523809523809525,0.06666666666666668,0.42857142857142855,0.282842712474619,0.030079260375911923,0.5714285714285714,neutral,中性,0.42857142857142855,False
2019-12,宁夏,5,0.13,0.0,0.32,0.0,0.06000000000000001,0.48999999999999994,0.26362852652928137,0.0,0.51,neutral,中性,0.48999999999999994,False
2019-12,安徽,30,0.15333333333333335,0.030000000000000002,0.2,0.07,0.10833333333333334,0.43833333333333335,0.22047493146001623,0.15063085730491543,0.5616666666666668,neutral,中性,0.43833333333333335,True
2019-12,山东,30,0.16166666666666665,0.04,0.14333333333333334,0.051666666666666666,0.058333333333333334,0.545,0.22882131763080737,0.166341637090312,0.45499999999999996,neutral,中性,0.545,True
2019-12,山西,22,0.17045454545454544,0.04772727272727273,0.06818181818181818,0.031818181818181815,0.04772727272727273,0.634090909090909,0.2617064380947854,0.1129111055163209,0.36590909090909096,neutral,中性,0.634090909090909,False
2019-12,广东,30,0.20166666666666666,0.021666666666666667,0.14333333333333334,0.010000000000000002,0.07666666666666667,0.5466666666666666,0.28991179792259686,0.03051285766293647,0.45333333333333337,neutral,中性,0.5466666666666666,True
