date_week,total_posts,joy_mean,sadness_mean,anger_mean,fear_mean,surprise_mean,neutral_mean,joy_std,sadness_std,anger_std,fear_std,surprise_std,emotional_intensity,dominant_emotion_key,dominant_emotion,positive_index,fear_joy_ratio
2019-W48,22,0.08409090909090909,0.00681818181818182,0.009090909090909092,0.01363636363636364,0.01590909090909091,0.8704545454545454,0.10280166252635128,0.023378126454803784,0.04264014327112209,0.03512500866571045,0.03581155585097543,0.12954545454545463,neutral,中性,2.126436781609195,0.1449275362318841
2019-W49,240,0.13745833333333335,0.049875,0.301875,0.023208333333333334,0.069375,0.41820833333333335,0.22808599258601345,0.10157537856872967,0.30420110234753595,0.06480190552409469,0.11026795530219648,0.5817916666666667,neutral,中性,0.357073276328607,0.15738909296411413
2019-W50,138,0.2192753623188406,0.04282608695652174,0.0736231884057971,0.026521739130434784,0.09521739130434784,0.542536231884058,0.28741647515665075,0.1083047142986899,0.1878535771969016,0.06620750584737344,0.12786407810271597,0.457463768115942,neutral,中性,1.4334438654666035,0.11567635903919089
2019-W51,112,0.2825892857142857,0.029464285714285714,0.06607142857142857,0.016964285714285716,0.07276785714285715,0.5321428571428571,0.30702802506034876,0.09018338959056572,0.15204525845208267,0.043781589073805235,0.09952327647908585,0.46785714285714286,neutral,中性,2.306851311953353,0.057979859627708276
2019-W52,102,0.23254901960784313,0.1057843137254902,0.12009803921568628,0.014117647058823528,0.0392156862745098,0.48823529411764705,0.3118792806393183,0.16188515838080955,0.21712110549544186,0.0554433604695046,0.07058014578638483,0.5117647058823529,neutral,中性,0.9301960784313725,0.05820533548908649
2020-W01,123,0.08536585365853659,0.08821138211382114,0.05121951219512195,0.13170731707317074,0.059756097560975614,0.583739837398374,0.20048421990527732,0.1355137916901377,0.1253623297267333,0.20216738446016508,0.10033928847104531,0.416260162601626,neutral,中性,0.3036437246963563,1.381074168797954
2020-W02,3,0.3,0.0,0.0,0.0,0.10000000000000002,0.6,0.3,0.0,0.0,0.0,0.1,0.4,neutral,中性,30.0,0.0
2020-W03,5,0.0,0.0,0.16999999999999998,0.02,0.030000000000000006,0.78,0.0,0.0,0.303315017762062,0.044721359549995794,0.0447213595499958,0.21999999999999997,neutral,中性,0.0,2.0
2020-W04,549,0.25688524590163936,0.08550091074681238,0.07058287795992714,0.06205828779599271,0.04191256830601093,0.48306010928961746,0.2815571073346906,0.13185500808123796,0.18008723291262388,0.12215203921312286,0.06587551580538363,0.5169398907103826,neutral,中性,1.125988023952096,0.2325279825279825
2020-W05,490,0.271530612244898,0.1023061224489796,0.0926530612244898,0.044408163265306125,0.04716326530612245,0.4419387755102041,0.2878783259535469,0.1548618625935913,0.20504152415206442,0.10489529658715997,0.06697917966609752,0.5580612244897959,neutral,中性,1.0888779769211883,0.15773831098223992
2020-W06,274,0.29620437956204376,0.1212043795620438,0.08653284671532847,0.03937956204379563,0.044452554744525544,0.4122262773722628,0.29854747602119275,0.1855089282799932,0.19652108168636231,0.07334485071596655,0.058415208366836696,0.5877737226277372,neutral,中性,1.1520227111426542,0.1286054827175209
2020-W07,228,0.33596491228070174,0.07732456140350877,0.09539473684210527,0.026842105263157896,0.04802631578947369,0.4164473684210526,0.3011365235435359,0.14499989339896038,0.20626385387922688,0.08212825244270594,0.07199522261760753,0.5835526315789474,neutral,中性,1.6031812473838425,0.07758620689655173
2020-W08,193,0.34274611398963734,0.08367875647668394,0.05803108808290155,0.021761658031088083,0.05181347150259067,0.4419689119170984,0.29545026160281945,0.14932291774912607,0.17425513821739683,0.07666896632429976,0.08265973440904226,0.5580310880829015,neutral,中性,1.9758064516129032,0.06169212690951821
2020-W09,205,0.3621951219512195,0.0951219512195122,0.06902439024390244,0.027560975609756098,0.05926829268292683,0.38682926829268294,0.2986038771789208,0.18431273975335982,0.18405568315115703,0.08185294345339512,0.08231903038925836,0.613170731707317,neutral,中性,1.7956469165659006,0.07404980340760157
2020-W10,187,0.36727272727272725,0.08550802139037433,0.05187165775401069,0.021657754010695186,0.04882352941176471,0.4248663101604278,0.32531299313047923,0.17016795526722264,0.14649754887644698,0.07913463742312656,0.060024241360613136,0.5751336898395722,neutral,中性,2.172730148687124,0.057406094968107724
2020-W11,213,0.2915492957746479,0.07549295774647888,0.11112676056338029,0.04248826291079812,0.0715962441314554,0.4077464788732394,0.3003126415920141,0.12513150138495094,0.22060732613975448,0.10909103911147386,0.10060330457538305,0.5922535211267606,neutral,中性,1.2193206361672881,0.1408998910166589
2020-W12,238,0.3464285714285714,0.0738235294117647,0.10756302521008404,0.020798319327731095,0.06861344537815127,0.38277310924369745,0.3244889801702963,0.13281789487604842,0.21686670306236178,0.06477967590738265,0.07654023064419534,0.6172268907563025,neutral,中性,1.6326732673267323,0.058351998113874814
2020-W13,226,0.28969026548672566,0.06176991150442478,0.09473451327433628,0.029469026548672568,0.06902654867256637,0.4553097345132744,0.29258904299818866,0.10597886655992068,0.18589643557393826,0.08947591316316093,0.09104298961865247,0.5446902654867256,neutral,中性,1.4782117859561978,0.09833161080761849
2020-W14,357,0.14985994397759103,0.32932773109243696,0.08661064425770308,0.027731092436974792,0.049327731092436974,0.35714285714285715,0.24341030346891293,0.311163269832529,0.1999114894003011,0.08472463965253946,0.09297575278120018,0.6428571428571428,neutral,中性,0.33032847616695477,0.17347117574908008
2020-W15,213,0.36877934272300467,0.0772300469483568,0.08004694835680752,0.03098591549295775,0.06877934272300469,0.3741784037558686,0.32254064120919934,0.13532047439702363,0.19610234537334473,0.08412964382726376,0.07875453353551234,0.6258215962441316,neutral,中性,1.8600520956665874,0.08180466038671295
2020-W16,191,0.26937172774869106,0.08664921465968586,0.09293193717277487,0.033246073298429324,0.06256544502617802,0.45523560209424085,0.2961447424142977,0.16227746701871945,0.19931406208060118,0.08889341443119791,0.0917617892020642,0.5447643979057591,neutral,中性,1.2088815789473681,0.11900299850074965
2020-W17,185,0.2689189189189189,0.0781081081081081,0.09675675675675675,0.02513513513513514,0.06702702702702702,0.46405405405405403,0.31552909140135404,0.1464032147618246,0.20314181775266998,0.07015594514542546,0.09219146148053921,0.5359459459459459,neutral,中性,1.2805662805662805,0.09011627906976746
2020-W18,240,0.250625,0.09708333333333334,0.15166666666666667,0.033125,0.057291666666666664,0.41020833333333334,0.30158164829076395,0.15749023126155254,0.25654065989879843,0.10019137023444721,0.07625490129890666,0.5897916666666667,neutral,中性,0.8586723768736615,0.12709832134292567
2020-W19,267,0.399625468164794,0.051385767790262174,0.07340823970037454,0.013408239700374532,0.056179775280898875,0.4059925093632959,0.3274414517304431,0.10925907794079258,0.1885959051002272,0.05834169835065283,0.06875103200282212,0.5940074906367041,neutral,中性,2.696487237806419,0.03273292493371126
2020-W20,211,0.3007109004739337,0.08554502369668247,0.12369668246445498,0.03672985781990521,0.055213270142180096,0.3981042654028436,0.3232822249611816,0.15793929397797538,0.23980663428288299,0.11218275060291946,0.06776237904280634,0.6018957345971564,neutral,中性,1.1747824476948714,0.1182123245881635
2020-W21,170,0.32441176470588234,0.08076470588235295,0.06558823529411766,0.027470588235294118,0.060294117647058824,0.4414705882352941,0.32970482743440954,0.16038047565650396,0.1812381998031135,0.08157518595840878,0.07534870785782635,0.5585294117647059,neutral,中性,1.7648,0.08214599824098505
2020-W22,153,0.24705882352941175,0.11405228758169934,0.08856209150326798,0.03137254901960784,0.055228758169934646,0.46372549019607845,0.29979353060183284,0.2057126186176928,0.19512957334959982,0.10096285679403282,0.08432459970195577,0.5362745098039216,neutral,中性,1.012590409858023,0.12204424103737606
2020-W23,208,0.2918269230769231,0.10144230769230769,0.09687499999999999,0.028605769230769233,0.059375,0.421875,0.31715146543137623,0.1858466370449814,0.20642422373579983,0.09330992649238411,0.08775841757388558,0.578125,neutral,中性,1.231737012987013,0.0947754061803122
2020-W24,227,0.2092511013215859,0.07638766519823788,0.0828193832599119,0.042775330396475776,0.07114537444933922,0.5176211453744494,0.28390117848824065,0.138036770230526,0.19814399424278598,0.1097856225948589,0.11774996388108291,0.48237885462555063,neutral,中性,0.987115544472153,0.19509744826200526
2020-W25,251,0.19860557768924303,0.06713147410358566,0.12310756972111553,0.043625498007968125,0.05258964143426295,0.5149402390438247,0.28179433601256954,0.12231328074014829,0.25004780419445827,0.10389611728669657,0.08320617123910289,0.4850597609561753,neutral,中性,0.8144094102270871,0.20912910618792968
2020-W26,207,0.24420289855072463,0.10144927536231885,0.10555555555555557,0.03429951690821256,0.05458937198067633,0.4599033816425121,0.2984429128402404,0.16501787513342311,0.2222579528987724,0.08437299957935544,0.08821696820187085,0.5400966183574879,neutral,中性,0.9717416378316032,0.13492968453059673
2020-W27,189,0.21957671957671956,0.10634920634920636,0.13783068783068783,0.05185185185185186,0.06560846560846562,0.4187830687830688,0.2905201327623362,0.16320234393493294,0.24437295552837532,0.11673419187369,0.09429060518325573,0.5812169312169313,neutral,中性,0.7174965421853388,0.22585849274026276
2020-W28,235,0.2548936170212766,0.07723404255319148,0.14957446808510638,0.04595744680851064,0.06553191489361702,0.40680851063829787,0.3090989962600946,0.13189451443754638,0.2683039277310972,0.11599918166650793,0.09223734969057516,0.5931914893617021,neutral,中性,0.9014296463506395,0.17349397590361446
2020-W29,205,0.3575609756097561,0.07292682926829268,0.08219512195121952,0.026829268292682926,0.0675609756097561,0.39292682926829264,0.3387605760436071,0.14093949303949732,0.20427432769802512,0.06742603152643019,0.08805581139602398,0.6070731707317074,neutral,中性,1.8627700127064801,0.072992700729927
2020-W30,201,0.2788557213930348,0.10646766169154229,0.11616915422885571,0.039303482587064675,0.05746268656716418,0.4017412935323383,0.32301421652862594,0.1829834970673721,0.2272658162676057,0.09898238448234585,0.08540509265111931,0.5982587064676617,neutral,中性,1.0254299304793266,0.13606613847743712
2020-W31,221,0.2877828054298643,0.09796380090497737,0.0660633484162896,0.03416289592760181,0.06493212669683258,0.4490950226244344,0.30163956195991026,0.15603880214414095,0.16896039225379222,0.09169044105394188,0.10522106559526022,0.5509049773755657,neutral,中性,1.3823081938708979,0.11472420604771309
2020-W32,228,0.2756578947368421,0.09100877192982457,0.0824561403508772,0.05175438596491228,0.08048245614035088,0.418640350877193,0.2991353274396399,0.14015516861091157,0.1929920287939091,0.12468989278982674,0.10251564680884984,0.581359649122807,neutral,中性,1.1719187022189073,0.1811761093198219
